CUT,Nombre,Unnamed: 2,Provincia,Región,Superficie(km²),Población2020,Densidad(hab./km²),IDH 2005,IDH 2005.1,Latitud,Longitud,Reg_cod,nom_com
15101,Arica,,Arica,Arica y Parinacota,"4.799,4",247.552,51.6,0.866,Alto,-18.455,-70.28999999999999,15,Arica
15102,Camarones,,Arica,Arica y Parinacota,3.927,1.233,0.31,0.791,Alto,-19.017,-69.86699999999999,15,Camarones
15201,Putre,,Parinacota,Arica y Parinacota,"5.902,5",2.515,0.43,0.817,Alto,-18.2,-69.583,15,Putre
15202,General Lagos,,Parinacota,Arica y Parinacota,"2.244,4",810.0,0.36,0.773,Medio,-17.653,-69.635,15,General Lagos
1101,Iquique,,Iquique,Tarapacá,"2.242,1",223.463,996,0.826,Alto,-20.244,-70.13900000000001,1,Iquique
1107,Alto Hospicio,,Iquique,Tarapacá,572.9,129.999,2268,0.735,Medio,-20.257,-70.022,1,Alto Hospicio
1401,Pozo Almonte,,Tamarugal,Tarapacá,"13.765,8",17.395,1.26,0.772,Alto,-20.291,-69.696,1,Pozo Almonte
1402,Camiña,,Tamarugal,Tarapacá,"2.200,2",1.375,0.62,0.699,Medio,-20.482999999999997,-69.36699999999999,1,Camina
1403,Colchane,,Tamarugal,Tarapacá,"4.015,6",1.583,0.39,0.683,Medio,-19.284000000000002,-68.67500000000001,1,Colchane
1404,Huara,,Tamarugal,Tarapacá,"10.474,6",3.0,0.29,0.746,Medio,-19.809,-69.97200000000001,1,Huara
1405,Pica,,Tamarugal,Tarapacá,"8.934,3",5.958,066,0.823,Alto,-20.482999999999997,-69.378,1,Pica
2101,Antofagasta,,Antofagasta,Antofagasta,"30.718,1",425.725,13.8,0.854,Alto,-23.651,-70.39500000000001,2,Antofagasta
2102,Mejillones,,Antofagasta,Antofagasta,"3.803,9",14.776,3.88,0.795,Alto,-23.110000000000003,-70.456,2,Mejillones
2103,Sierra Gorda,,Antofagasta,Antofagasta,12.886,1.746,0.14,0.809,Alto,-22.898,-69.323,2,Sierra Gorda
2104,Taltal,,Antofagasta,Antofagasta,"20.405,1",13.657,0.67,0.776,Alto,-25.41,-70.489,2,Taltal
2201,Calama,,El Loa,Antofagasta,"15.596,9",190.336,12.2,0.857,Alto,-22.473999999999997,-68.924,2,Calama
2202,Ollagüe,,El Loa,Antofagasta,2.964,287.0,0.09,0.739,Medio,-21.232999999999997,-68.267,2,Ollague
2203,San Pedro de Atacama,,El Loa,Antofagasta,23.439,10.434,0.45,0.771,Alto,-22.92,-68.21000000000001,2,San Pedro de Atacama
2301,Tocopilla,,Tocopilla,Antofagasta,"4.038,8",28.079,6.95,0.796,Medio,-22.082,-70.18900000000001,2,Tocopilla
2302,María Elena,,Tocopilla,Antofagasta,12.197,6.814,0.55,0.779,Alto,-22.317,-69.677,2,Maria Elena
3101,Copiapó,,Copiapó,Atacama,"16.681,3",171.766,10.2,0.725,Alto,-27.375,-70.329,3,Copiapo
3102,Caldera,,Copiapó,Atacama,"4.666,6",19.426,4.16,0.741,Alto,-27.066,-70.826,3,Caldera
3103,Tierra Amarilla,,Copiapó,Atacama,11.191,14.312,1.27,0.686,Medio,-27.473,-70.283,3,Tierra Amarilla
3201,Chañaral,,Chañaral,Atacama,5.772,13.164,2.28,0.714,Alto,-26.346,-70.624,3,Chanaral
3202,Diego de Almagro,,Chañaral,Atacama,18.664,14.358,0.77,0.789,Alto,-26.39,-70.05199999999999,3,Diego de Almagro
3301,Vallenar,,Huasco,Atacama,7.084,57.009,8.04,0.731,Alto,-28.576999999999998,-70.77,3,Vallenar
3302,Alto del Carmen,,Huasco,Atacama,5.939,5.729,0.96,0.664,Medio,-28.749000000000002,-70.491,3,Alto del Carmen
